Hvilken TV-serie handler om en gruppe overlevende etter et zombie-apokalyps?; The Walking Dead; Game of Thrones; Breaking Bad
Hvem spilte hovedrollen som Rocky Balboa i "Rocky"-filmene?; Sylvester Stallone; Arnold Schwarzenegger; Bruce Willis
Hvilken superhelt er kjent for sin hammer?; Thor; Captain America; Iron Man
Hva heter hovedpersonen i "Pirates of the Caribbean"?; Jack Sparrow; Will Turner; Elizabeth Swann
Hvem spilte hovedrollen i filmen "The Matrix"?; Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss
Hvilken film inneholder sangen "Can You Feel the Love Tonight"?; The Lion King; Beauty and the Beast; Aladdin
Hvem skrev boken "Pride and Prejudice"?; Jane Austen; Charlotte Brontë; Emily Brontë
Hvilken TV-serie handler om en gruppe venner i New York?; Friends; Seinfeld; How I Met Your Mother
Hvem spilte hovedrollen som Indiana Jones?; Harrison Ford; Tom Hanks; Brad Pitt
Hvilken superhelt er kjent for sitt skjold?; Captain America; Iron Man; Thor
Hva heter hovedpersonen i "Jurassic Park"?; Dr. Alan Grant; Dr. Ian Malcolm; John Hammond
Hvem spilte hovedrollen i filmen "Gladiator"?; Russell Crowe; Joaquin Phoenix; Connie Nielsen
Hvilken film inneholder sangen "A Whole New World"?; Aladdin; The Lion King; Beauty and the Beast
Hvem skrev boken "The Great Gatsby"?; F. Scott Fitzgerald; Ernest Hemingway; John Steinbeck
Hvilken TV-serie handler om en husholdning i 1960-årenes USA?; Mad Men; The Sopranos; Breaking Bad
Hvem spilte hovedrollen som Neo i "The Matrix"?; Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss
Hvilken superhelt er kjent for sin grønne hud?; Hulk; Spider-Man; Iron Man
Hva heter hovedpersonen i "The Hunger Games"?; Katniss Everdeen; Peeta Mellark; Gale Hawthorne
Hvem spilte hovedrollen i filmen "Inception"?; Leonardo DiCaprio; Joseph Gordon-Levitt; Elliot Page
Hvilken film inneholder sangen "Let It Go"?; Frozen; Tangled; Moana
Hvem skrev boken "Moby Dick"?; Herman Melville; Nathaniel Hawthorne; Edgar Allan Poe
Hvilken TV-serie handler om en gruppe fanger på en mystisk øy?; Lost; Prison Break; Orange Is the New Black
Hvem spilte hovedrollen som James Bond i "Skyfall"?; Daniel Craig; Pierce Brosnan; Sean Connery
Hvilken superhelt er kjent for sin røde drakt?; Daredevil; Spider-Man; Iron Man
Hva heter hovedpersonen i "Twilight"?; Bella Swan; Edward Cullen; Jacob Black
Hvem spilte hovedrollen i filmen "Avatar"?; Sam Worthington; Zoe Saldana; Sigourney Weaver
Hvilken film inneholder sangen "Circle of Life"?; The Lion King; Aladdin; The Little Mermaid
Hvem skrev boken "The Catcher in the Rye"?; J.D. Salinger; Ernest Hemingway; F. Scott Fitzgerald
Hvilken TV-serie handler om en gruppe advokater i Boston?; Boston Legal; Suits; The Good Wife
Hvem spilte hovedrollen som Ethan Hunt i "Mission: Impossible"?; Tom Cruise; Simon Pegg; Ving Rhames
Hvilken superhelt er kjent for sin svarte drakt?; Black Panther; Batman; Spider-Man
Hva heter hovedpersonen i "The Hobbit"?; Bilbo Baggins; Gandalf; Thorin Oakenshield
Hvem spilte hovedrollen i filmen "The Revenant"?; Leonardo DiCaprio; Tom Hardy; Domhnall Gleeson
Hvilken film inneholder sangen "Beauty and the Beast"?; Beauty and the Beast; The Lion King; Aladdin
Hvem skrev boken "The Chronicles of Narnia"?; C.S. Lewis; J.R.R. Tolkien; George R.R. Martin
Hvilken TV-serie handler om en gruppe politifolk i New York?; Law & Order; CSI; NCIS
Hvem spilte hovedrollen som Jason Bourne?; Matt Damon; Jeremy Renner; Julia Stiles
Hvilken superhelt er kjent for sin røde kapp?; Superman; Batman; Wonder Woman
Hva heter hovedpersonen i "Fifty Shades of Grey"?; Anastasia Steele; Christian Grey; José Rodriguez
Hvem spilte hovedrollen i filmen "La La Land"?; Ryan Gosling; Emma Stone; John Legend
Hvilken film inneholder sangen "Part of Your World"?; The Little Mermaid; Beauty and the Beast; Aladdin
Hvem skrev boken "The Da Vinci Code"?; Dan Brown; John Grisham; Michael Crichton
Hvilken TV-serie handler om en gruppe leger på et sykehus?; Grey's Anatomy; House; Scrubs
Hvem spilte hovedrollen som Wolverine?; Hugh Jackman; Patrick Stewart; Ian McKellen
Hvilken superhelt er kjent for sin grønne lanterne?; Green Lantern; Batman; Superman
Hva heter hovedpersonen i "The Fault in Our Stars"?; Hazel Grace Lancaster; Augustus Waters; Isaac
Hvem spilte hovedrollen i filmen "Interstellar"?; Matthew McConaughey; Anne Hathaway; Jessica Chastain
Hvilken film inneholder sangen "How Far I'll Go"?; Moana; Frozen; Tangled
Hvem skrev boken "Gone Girl"?; Gillian Flynn; Paula Hawkins; Tana French
Hvilken TV-serie handler om en gruppe politifolk i Los Angeles?; The Shield; Southland; Bosch
Hvem spilte hovedrollen som Maximus i "Gladiator"?; Russell Crowe; Joaquin Phoenix; Connie Nielsen
Hvilken superhelt er kjent for sin røde og blå drakt?; Spider-Man; Superman; Batman
Hva heter hovedpersonen i "Divergent"?; Tris Prior; Four; Jeanine Matthews
Hvem spilte hovedrollen i filmen "The Martian"?; Matt Damon; Jessica Chastain; Kristen Wiig
Hvilken film inneholder sangen "Under the Sea"?; The Little Mermaid; Aladdin; Beauty and the Beast
Hvem skrev boken "The Girl with the Dragon Tattoo"?; Stieg Larsson; Henning Mankell; Jo Nesbø
Hvilken TV-serie handler om en gruppe overlevende etter en atomkrig?; The 100; The Walking Dead; Falling Skies
Hvem spilte hovedrollen som Dominic Toretto i "Fast & Furious"?; Vin Diesel; Paul Walker; Dwayne Johnson
Hvilken superhelt er kjent for sin gule og røde drakt?; Iron Man; Captain America; Thor
Hva heter hovedpersonen i "The Maze Runner"?; Thomas; Newt; Minho
Hvem spilte hovedrollen i filmen "Deadpool"?; Ryan Reynolds; Morena Baccarin; T.J. Miller
Hvilken film inneholder sangen "Colors of the Wind"?; Pocahontas; The Lion King; Aladdin
Hvem skrev boken "The Shining"?; Stephen King; Dean Koontz; Clive Barker
Hvilken TV-serie handler om en gruppe politifolk i Baltimore?; The Wire; Homicide; Law & Order
Hvem spilte hovedrollen som John Wick?; Keanu Reeves; Ian McShane; Lance Reddick
Hvilken superhelt er kjent for sin sorte drakt?; Batman; Superman; Wonder Woman
Hva heter hovedpersonen i "The Hunger Games"?; Katniss Everdeen; Peeta Mellark; Gale Hawthorne
Hvem spilte hovedrollen i filmen "Black Panther"?; Chadwick Boseman; Michael B. Jordan; Lupita Nyong'o
Hvilken film inneholder sangen "Reflection"?; Mulan; The Lion King; Beauty and the Beast
Hvem skrev boken "The Handmaid's Tale"?; Margaret Atwood; Ursula K. Le Guin; Octavia Butler
Hvilken TV-serie handler om en gruppe politifolk i Chicago?; Chicago P.D.; Chicago Fire; Chicago Med
Hvem spilte hovedrollen som Tony Montana i "Scarface"?; Al Pacino; Michelle Pfeiffer; Steven Bauer
Hvilken superhelt er kjent for sin grønne og hvite drakt?; Green Arrow; The Flash; Supergirl
Hva heter hovedpersonen i "The Notebook"?; Allie Hamilton; Noah Calhoun; Lon Hammond
Hvem spilte hovedrollen i filmen "Wonder Woman"?; Gal Gadot; Chris Pine; Robin Wright
Hvilken film inneholder sangen "Belle"?; Beauty and the Beast; The Lion King; Aladdin
Hvem skrev boken "The Silence of the Lambs"?; Thomas Harris; Patricia Cornwell; James Patterson
Hvilken TV-serie handler om en gruppe politifolk i Miami?; Miami Vice; CSI: Miami; Dexter
Hvem spilte hovedrollen som Rick Deckard i "Blade Runner"?; Harrison Ford; Rutger Hauer; Sean Young
Hvilken superhelt er kjent for sin blå og røde drakt?; Superman; Batman; Wonder Woman
Hva heter hovedpersonen i "The Fault in Our Stars"?; Hazel Grace Lancaster; Augustus Waters; Isaac
Hvem spilte hovedrollen i filmen "Mad Max: Fury Road"?; Tom Hardy; Charlize Theron; Nicholas Hoult
Hvilken film inneholder sangen "Can You Feel the Love Tonight"?; The Lion King; Beauty and the Beast; Aladdin
Hva er hovedingrediensen i en tradisjonell italiensk pizza?; Mel, tomat, ost; Ris, kylling, ost; Kjøttdeig, tomat, ost
Hva er hovedbestanddelen i guacamole?; Avokado; Tomat; Løk
Hvilken type ost brukes tradisjonelt i gresk salat?; Feta; Cheddar; Mozzarella
Hva er hovedingrediensen i sushi?; Ris; Kylling; Fisk
Hvilken type kjøtt brukes i en tradisjonell chili con carne?; Storfe; Kylling; Fisk
Hva er hovedingrediensen i hummus?; Kikærter; Poteter; Graskar
Hvilken type mel brukes i tradisjonell mexicansk taco?; Maismel; Hvetemel; Rugmel
Hva er hovedingrediensen i en klassisk fransk omelett?; Egg; Mel; Poteter
Hvilken type pasta brukes i lasagne?; Lasagneplater; Spaghetti; Penne
Hva er hovedingrediensen i en indisk curry?; Kylling; Ris; Kikærter
Hvilken type ris brukes i risotto?; Arborio; Basmati; Jasmin
Hva er hovedingrediensen i en klassisk amerikansk hamburger?; Kjøttdeig; Kylling; Fisk
Hvilken type ost brukes i en tradisjonell caprese-salat?; Mozzarella; Cheddar; Gouda
Hva er hovedingrediensen i en japansk miso-suppe?; Miso; Kylling; Fisk
Hvilken type nødder brukes i pesto?; Pinjekjerner; Mandler; Valnøtter
Hva er hovedingrediensen i en klassisk spansk paella?; Ris; Pasta; Kjøttdeig
Hvilken type kjøtt brukes i en tradisjonell tysk bratwurst?; Svinekjøtt; Kylling; Lammekjøtt
Hva er hovedingrediensen i en thailandsk pad thai?; Risnudler; Hvetenudler; Eggnudler
Hvilken type ost brukes i en tradisjonell fransk quiche?; Gruyère; Cheddar; Feta
Hva er hovedingrediensen i en klassisk italiensk tiramisu?; Mascarpone; Fløte; Smør
Hvilken type mel brukes i tradisjonell indisk naan?; Hvetemel; Maismel; Rugmel
Hva er hovedingrediensen i en klassisk amerikansk apple pie?; Epler; Jordbær; Blåbær
Hvilken type kjøtt brukes i en tradisjonell fransk coq au vin?; Kylling; Storfe; Lammekjøtt
Hva er hovedingrediensen i en klassisk gresk moussaka?; Eggplante; Gulerøtter; Poteter
Hvilken type ris brukes i sushi?; Sushiris; Basmati; Jasmin
Hva er hovedingrediensen i en klassisk italiensk bruschetta?; Brød; Ris; Pasta
Hvilken type ost brukes i en tradisjonell fransk fondue?; Gruyère; Cheddar; Gouda
Hva er hovedingrediensen i en klassisk mexicansk enchilada?; Maistortilla; Hvetetortilla; Ris
Hvilken type kjøtt brukes i en tradisjonell ungarsk goulash?; Storfe; Kylling; Fisk
Hva er hovedingrediensen i en klassisk indisk samosa?; Kjøttdeig; Poteter; Kikærter
Hvilken type mel brukes i tradisjonell fransk baguette?; Hvetemel; Rugmel; Maismel
Hva er hovedingrediensen i en klassisk italiensk carbonara?; Egg; Mel; Tomat
Hvilken type ost brukes i en tradisjonell gresk spanakopita?; Feta; Cheddar; Mozzarella
Hva er hovedingrediensen i en klassisk japansk tempura?; Fisk; Kylling; Grønnsaker
Hvilken type nudler brukes i tradisjonell kinesisk lo mein?; Eggnudler; Risnudler; Hvetenudler
Hva er hovedingrediensen i en klassisk fransk ratatouille?; Grønnsaker; Kjøtt; Fisk
Hvilken type kjøtt brukes i en tradisjonell tysk sauerbraten?; Storfe; Kylling; Lammekjøtt
Hva er hovedingrediensen i en klassisk italiensk panna cotta?; Fløte; Mel; Egg
Hvilken type ost brukes i en tradisjonell fransk croque monsieur?; Gruyère; Cheddar; Feta
Hva er hovedingrediensen i en klassisk mexicansk quesadilla?; Ost; Kjøtt; Grønnsaker
Hvilken type ris brukes i tradisjonell spansk paella?; Bomba; Basmati; Jasmin
Hva er hovedingrediensen i en klassisk indisk biryani?; Ris; Kjøtt; Grønnsaker
Hvilken type kjøtt brukes i en tradisjonell fransk bouillabaisse?; Fisk; Kylling; Storfe
Hva er hovedingrediensen i en klassisk italiensk minestrone?; Grønnsaker; Kjøtt; Ost
Hvilken type mel brukes i tradisjonell tysk pretzel?; Hvetemel; Rugmel; Maismel
Hva er hovedingrediensen i en klassisk japansk ramen?; Nudler; Ris; Kjøtt
Hvilken type ost brukes i en tradisjonell gresk tiropita?; Feta; Cheddar; Mozzarella
Hva er hovedingrediensen i en klassisk mexicansk tamale?; Maismel; Hvetemel; Ris
Hvilken type kjøtt brukes i en tradisjonell ungarsk paprikash?; Kylling; Storfe; Fisk
Hva er hovedingrediensen i en klassisk indisk pakora?; Kikærter; Poteter; Gulerøtter
Hvilken type mel brukes i tradisjonell fransk croissant?; Hvetemel; Rugmel; Maismel
Hva er hovedingrediensen i en klassisk italiensk focaccia?; Brød; Ris; Pasta
Hvilken type ost brukes i en tradisjonell gresk saganaki?; Feta; Cheddar; Gouda
Hva er hovedingrediensen i en klassisk japansk okonomiyaki?; Grønnsaker; Kjøtt; Fisk
Hvilken type nudler brukes i tradisjonell kinesisk chow mein?; Hvetenudler; Eggnudler; Risnudler
Hva er hovedingrediensen i en klassisk fransk bouillabaisse?; Fisk; Kylling; Storfe
Hvilken type kjøtt brukes i en tradisjonell tysk eisbein?; Svinekjøtt; Kylling; Lammekjøtt
Hva er hovedingrediensen i en klassisk italiensk cannoli?; Ricotta; Fløte; Smør
Hvilken type ost brukes i en tradisjonell fransk raclette?; Raclette; Cheddar; Gouda
Hva er hovedingrediensen i en klassisk mexicansk chiles rellenos?; Chilipepper; Kjøtt; Ost
Hvilken type ris brukes i tradisjonell indisk kheer?; Basmati; Jasmin; Arborio
Hva er hovedingrediensen i en klassisk italiensk affogato?; Espresso; Mel; Egg
Hvilken type kjøtt brukes i en tradisjonell fransk cassoulet?; And; Storfe; Kylling
Hva er hovedingrediensen i en klassisk gresk dolmades?; Vindrueblader; Kål; Spinat
Hvilken type mel brukes i tradisjonell tysk strudel?; Hvetemel; Rugmel; Maismel
Hva er hovedingrediensen i en klassisk japansk yakitori?; Kylling; Storfe; Fisk
Hvilken type ost brukes i en tradisjonell gresk kefalotyri?; Feta; Cheddar; Gouda
Hva er hovedingrediensen i en klassisk mexicansk mole?; Kylling; Storfe; Fisk
Hvilken type nudler brukes i tradisjonell kinesisk wonton?; Hvetenudler; Eggnudler; Risnudler
Hva er hovedingrediensen i en klassisk fransk tarte tatin?; Epler; Pærer; Ferskener
Hvilken type kjøtt brukes i en tradisjonell tysk currywurst?; Pølse; Kylling; Lammekjøtt
Hva er hovedingrediensen i en klassisk italiensk zuppa toscana?; Grønnsaker; Kjøtt; Ost
Hvilken type ost brukes i en tradisjonell fransk tartiflette?; Reblochon; Cheddar; Gouda
Hva er hovedingrediensen i en klassisk japansk tonkatsu?; Svinekjøtt; Kylling; Fisk
Hvilken type ris brukes i tradisjonell spansk arroz con gandules?; Bomba; Basmati; Jasmin
Hva er hovedingrediensen i en klassisk indisk aloo gobi?; Poteter; Gulerøtter; Kål
Hvilken type mel brukes i tradisjonell fransk brioche?; Hvetemel; Rugmel; Maismel
Hva er hovedingrediensen i en klassisk italiensk stracciatella?; Egg; Mel; Tomat
Hvilken type ost brukes i en tradisjonell gresk tzatziki?; Feta; Cheddar; Mozzarella
Hva er hovedingrediensen i en klassisk mexicansk ceviche?; Fisk; Kylling; Storfe
Hvilken type kjøtt brukes i en tradisjonell tysk schnitzel?; Svinekjøtt; Kylling; Lammekjøtt
Hva er hovedingrediensen i en klassisk italiensk caponata?; Grønnsaker; Kjøtt; Ost
Hvilken type nudler brukes i tradisjonell kinesisk lo mein?; Eggnudler; Risnudler; Hvetenudler
Hva er hovedingrediensen i en klassisk fransk coq au vin?; Kylling; Storfe; Lammekjøtt
Hvilken type ris brukes i tradisjonell indisk biryani?; Basmati; Jasmin; Arborio
Hva er hovedingrediensen i en klassisk gresk souvlaki?; Kylling; Storfe; Lammekjøtt
Hvilken type mel brukes i tradisjonell tysk pretzel?; Hvetemel; Rugmel; Maismel
Hva er hovedingrediensen i en klassisk japansk sashimi?; Fisk; Kylling; Storfe
Hvilken type ost brukes i en tradisjonell fransk fondue?; Gruyère; Cheddar; Gouda
Hva er hovedingrediensen i en klassisk mexicansk enchilada?; Maistortilla; Hvetetortilla; Ris
Hvilken type kjøtt brukes i en tradisjonell ungarsk goulash?; Storfe; Kylling; Fisk
Hva er hovedingrediensen i en klassisk indisk samosa?; Kjøttdeig; Poteter; Kikærter
Hvilken type mel brukes i tradisjonell fransk baguette?; Hvetemel; Rugmel; Maismel
Hva er hovedingrediensen i en klassisk italiensk carbonara?; Egg; Mel; Tomat
Hvilken type ost brukes i en tradisjonell gresk spanakopita?; Feta; Cheddar; Mozzarella
Hva er hovedingrediensen i en klassisk japansk tempura?; Fisk; Kylling; Grønnsaker
Hvilken type nudler brukes i tradisjonell kinesisk lo mein?; Eggnudler; Risnudler; Hvetenudler
Hva er hovedingrediensen i en klassisk fransk ratatouille?; Grønnsaker; Kjøtt; Fisk
Hvilken type kjøtt brukes i en tradisjonell tysk sauerbraten?; Storfe; Kylling; Lammekjøtt
Hva er hovedingrediensen i en klassisk italiensk panna cotta?; Fløte; Mel; Egg
Hvilken sport er Lionel Messi mest kjent for?; Fotball; Basketball; Tennis
Hvor mange spillere er det i et fotballag?; 11; 9; 7
Hvilken sport er Michael Jordan mest kjent for?; Basketball; Fotball; Baseball
Hva er lengden på en maraton?; 42,195 km; 21,097 km; 10,000 km
Hvilken sport er Roger Federer mest kjent for?; Tennis; Golf; Squash
Hvor mange spillere er det i et basketballag?; 5; 7; 9
Hvilken sport er Usain Bolt mest kjent for?; Friidrett; Svømming; Sykling
Hva er lengden på en standard fotballbane?; 105 meter; 90 meter; 120 meter
Hvilken sport er Cristiano Ronaldo mest kjent for?; Fotball; Håndball; Rugby
Hvor mange spillere er det i et volleyballag?; 6; 5; 7
Hvilken sport er Tiger Woods mest kjent for?; Golf; Tennis; Badminton
Hva er høyden på en basketballkurv?; 3,05 meter; 2,5 meter; 3,5 meter
Hvilken sport er Serena Williams mest kjent for?; Tennis; Badminton; Bordtennis
Hvor mange spillere er det i et rugbylag?; 15; 11; 9
Hvilken sport er Michael Phelps mest kjent for?; Svømming; Friidrett; Sykling
Hva er lengden på en standard svømmebane?; 50 meter; 25 meter; 100 meter
Hvilken sport er LeBron James mest kjent for?; Basketball; Fotball; Baseball
Hvor mange spillere er det i et håndballag?; 7; 5; 6
Hvilken sport er Novak Djokovic mest kjent for?; Tennis; Golf; Squash
Hva er høyden på en volleyballnett?; 2,43 meter; 2,10 meter; 2,75 meter
Hvilken sport er Kobe Bryant mest kjent for?; Basketball; Fotball; Baseball
Hvor mange spillere er det i et ishockeylag?; 6; 5; 7
Hvilken sport er Rafael Nadal mest kjent for?; Tennis; Badminton; Bordtennis
Hva er lengden på en standard ishockeybane?; 60 meter; 50 meter; 70 meter
Hvilken sport er Wayne Gretzky mest kjent for?; Ishockey; Fotball; Basketball
